Location,TimeFrame,MEDICAID_CNT
Mercer,2019,2403
Metcalfe,2014,1822
Metcalfe,2015,1697
Metcalfe,2016,1838
Metcalfe,2017,1763
Metcalfe,2018,1626
Metcalfe,2019,1635
Monroe,2014,1715
Monroe,2015,1720
Monroe,2016,1794
Monroe,2017,1803
Monroe,2018,1625
Monroe,2019,1581
Montgomery,2014,4343
Montgomery,2015,4103
Montgomery,2016,4503
Montgomery,2017,4504
Montgomery,2018,4124
Montgomery,2019,3936
Morgan,2014,1901
Morgan,2015,1856
Morgan,2016,1932
Morgan,2017,1950
Morgan,2018,1825
Morgan,2019,1834
Muhlenberg,2014,4134
Muhlenberg,2015,4011
Muhlenberg,2016,4341
Muhlenberg,2017,4429
Muhlenberg,2018,3912
Muhlenberg,2019,3795
Nelson,2014,5333
Nelson,2015,5122
Nelson,2016,5416
Nelson,2017,5351
Nelson,2018,4836
Nelson,2019,4664
Nicholas,2014,1269
Nicholas,2015,1169
Nicholas,2016,1149
Nicholas,2017,1089
Nicholas,2018,992
Nicholas,2019,932
Ohio,2014,3614
Ohio,2015,3568
Ohio,2016,3982
Ohio,2017,3991
Ohio,2018,3656
Ohio,2019,3467
Oldham,2014,3149
Oldham,2015,3110
Oldham,2016,3319
Oldham,2017,3250
Oldham,2018,2928
Oldham,2019,2836
Owen,2014,1617
Owen,2015,1500
Owen,2016,1672
Owen,2017,1680
Owen,2018,1614
Owen,2019,1576
Owsley,2014,988
Owsley,2015,944
Owsley,2016,1003
Owsley,2017,971
Owsley,2018,922
Owsley,2019,899
Pendleton,2014,1993
Pendleton,2015,1907
Pendleton,2016,2073
Pendleton,2017,2038
Pendleton,2018,1915
Pendleton,2019,1804
Perry,2014,5509
Perry,2015,5389
Perry,2016,5768
Perry,2017,5611
Perry,2018,5072
Perry,2019,4954
Pike,2014,9264
Pike,2015,9243
Pike,2016,9472
Pike,2017,9176
Pike,2018,8161
Pike,2019,7900
Powell,2014,2687
Powell,2015,2569
Powell,2016,2763
Powell,2017,2629
Powell,2018,2388
Powell,2019,2286
Pulaski,2014,9529
Pulaski,2015,9500
Pulaski,2016,10335
Pulaski,2017,10085
Pulaski,2018,9315
Pulaski,2019,9323
Robertson,2014,329
Robertson,2015,258
Robertson,2016,285
Robertson,2017,292
Robertson,2018,274
Robertson,2019,263
Rockcastle,2014,2730
Rockcastle,2015,2534
Rockcastle,2016,2642
Rockcastle,2017,2647
Rockcastle,2018,2381
Rockcastle,2019,2381
Rowan,2014,3262
Rowan,2015,3150
Rowan,2016,3448
Rowan,2017,3513
Rowan,2018,3282
Rowan,2019,3202
Russell,2014,3137
Russell,2015,3024
Russell,2016,3169
Russell,2017,3035
Russell,2018,2833
Russell,2019,2823
Scott,2014,5396
Scott,2015,5222
Scott,2016,5938
Scott,2017,5724
Scott,2018,5283
Scott,2019,5192
Shelby,2014,4792
Shelby,2015,4596
Shelby,2016,5000
