Location,TimeFrame,COLLEGE_GRAD_PCT
Laurel,2011-2012,0.57
Laurel,2012-2013,0.47
Laurel,2013-2014,0.55
Laurel,2014-2015,0.52
Laurel,2015-2016,0.48
Laurel,2016-2017,0.44
Laurel,2017-2018,0.57
Lawrence,2011-2012,0.37
Lawrence,2012-2013,0.46
Lawrence,2013-2014,0.65
Lawrence,2014-2015,0.42
Lawrence,2015-2016,0.68
Lawrence,2016-2017,0.53
Lawrence,2017-2018,0.23
Lee,2011-2012,0.53
Lee,2012-2013,0.5
Lee,2013-2014,0.5
Lee,2014-2015,0.64
Lee,2015-2016,0.52
Lee,2016-2017,0.2
Lee,2017-2018,0.5
Leslie,2011-2012,0.6
Leslie,2012-2013,0.6
Leslie,2013-2014,0.33
Leslie,2014-2015,0.3
Leslie,2015-2016,0.5
Leslie,2016-2017,0.33
Leslie,2017-2018,0.8
Letcher,2011-2012,0.5
Letcher,2012-2013,0.71
Letcher,2013-2014,0.42
Letcher,2014-2015,0.52
Letcher,2015-2016,0.39
Letcher,2016-2017,0.41
Letcher,2017-2018,0.61
Lewis,2011-2012,0.57
Lewis,2012-2013,0.33
Lewis,2013-2014,0.59
Lewis,2014-2015,0.36
Lewis,2015-2016,0.5
Lewis,2016-2017,0.61
Lewis,2017-2018,0.52
Lincoln,2011-2012,0.37
Lincoln,2012-2013,0.49
Lincoln,2013-2014,0.45
Lincoln,2014-2015,0.46
Lincoln,2015-2016,0.41
Lincoln,2016-2017,0.49
Lincoln,2017-2018,0.39
Livingston,2011-2012,0.32
Livingston,2012-2013,0.8
Livingston,2013-2014,0.25
Livingston,2014-2015,0.61
Livingston,2015-2016,0.5
Livingston,2016-2017,0.83
Livingston,2017-2018,0.56
Logan,2011-2012,0.46
Logan,2012-2013,0.48
Logan,2013-2014,0.48
Logan,2014-2015,0.51
Logan,2015-2016,0.4
Logan,2016-2017,0.54
Logan,2017-2018,0.49
Lyon,2011-2012,0.47
Lyon,2012-2013,0.46
Lyon,2013-2014,0.39
Lyon,2014-2015,0.29
Lyon,2015-2016,0.36
Lyon,2016-2017,0.58
Lyon,2017-2018,0.44
McCracken,2011-2012,0.49
McCracken,2012-2013,0.46
McCracken,2013-2014,0.56
McCracken,2014-2015,0.41
McCracken,2015-2016,0.43
McCracken,2016-2017,0.58
McCracken,2017-2018,0.61
McCreary,2011-2012,0.33
McCreary,2012-2013,0.33
McCreary,2013-2014,0.54
McCreary,2014-2015,0.45
McCreary,2015-2016,0.53
McCreary,2016-2017,0.38
McCreary,2017-2018,0.36
McLean,2011-2012,0.55
