Location,Age group,TimeFrame,CHILD_POP_CNT,,
Jessamine,0-17,2011,12530,,
Jessamine,0-17,2012,12614,,
Jessamine,0-17,2013,12564,,
Jessamine,0-17,2014,12587,,
Jessamine,0-17,2015,12805,,
Jessamine,0-17,2016,12868,,
Jessamine,0-17,2017,13128,,
Johnson,0-17,2011,5267,,
Johnson,0-17,2012,5195,,
Johnson,0-17,2013,5251,,
Johnson,0-17,2014,5265,,
Johnson,0-17,2015,5232,,
Johnson,0-17,2016,5167,,
Johnson,0-17,2017,4967,,
Kenton,0-17,2011,39846,,
Kenton,0-17,2012,40057,,
Kenton,0-17,2013,40118,,
Kenton,0-17,2014,40151,,
Kenton,0-17,2015,40073,,
Kenton,0-17,2016,39777,,
Kenton,0-17,2017,39547,,
Knott,0-17,2011,3452,,
Knott,0-17,2012,3440,,
Knott,0-17,2013,3289,,
Knott,0-17,2014,3239,,
Knott,0-17,2015,3236,,
Knott,0-17,2016,3231,,
Knott,0-17,2017,3110,,
Knox,0-17,2011,7855,,
Knox,0-17,2012,7685,,
Knox,0-17,2013,7447,,
Knox,0-17,2014,7555,,
Knox,0-17,2015,7489,,
Knox,0-17,2016,7445,,
Knox,0-17,2017,7269,,
Larue,0-17,2011,3367,,
Larue,0-17,2012,3270,,
Larue,0-17,2013,3165,,
Larue,0-17,2014,3181,,
Larue,0-17,2015,3189,,
Larue,0-17,2016,3087,,
Larue,0-17,2017,3201,,
Laurel,0-17,2011,14280,,
Laurel,0-17,2012,14288,,
Laurel,0-17,2013,14062,,
Laurel,0-17,2014,14146,,
Laurel,0-17,2015,14036,,
Laurel,0-17,2016,13938,,
Laurel,0-17,2017,13970,,
Lawrence,0-17,2011,3694,,
Lawrence,0-17,2012,3677,,
Lawrence,0-17,2013,3681,,
Lawrence,0-17,2014,3656,,
Lawrence,0-17,2015,3673,,
Lawrence,0-17,2016,3799,,
Lawrence,0-17,2017,3748,,
Lee,0-17,2011,1543,,
Lee,0-17,2012,1478,,
Lee,0-17,2013,1422,,
Lee,0-17,2014,1443,,
Lee,0-17,2015,1390,,
Lee,0-17,2016,1343,,
Lee,0-17,2017,1341,,
Leslie,0-17,2011,2411,,
Leslie,0-17,2012,2435,,
Leslie,0-17,2013,2340,,
Leslie,0-17,2014,2362,,
Leslie,0-17,2015,2323,,
Leslie,0-17,2016,2278,,
Leslie,0-17,2017,2262,,
Letcher,0-17,2011,5413,,
Letcher,0-17,2012,5289,,
Letcher,0-17,2013,5120,,
Letcher,0-17,2014,5041,,
Letcher,0-17,2015,4996,,
Letcher,0-17,2016,4961,,
Letcher,0-17,2017,4821,,
Lewis,0-17,2011,3236,,
Lewis,0-17,2012,3231,,
Lewis,0-17,2013,3134,,
Lewis,0-17,2014,3173,,
Lewis,0-17,2015,3119,,
Lewis,0-17,2016,2943,,
Lewis,0-17,2017,2909,,
Lincoln,0-17,2011,6065,,
Lincoln,0-17,2012,5933,,
Lincoln,0-17,2013,5759,,
Lincoln,0-17,2014,5802,,
Lincoln,0-17,2015,5794,,
Lincoln,0-17,2016,5634,,
Lincoln,0-17,2017,5693,,
Livingston,0-17,2011,1957,,
Livingston,0-17,2012,1910,,
Livingston,0-17,2013,1863,,
Livingston,0-17,2014,1920,,
Livingston,0-17,2015,1920,,
Livingston,0-17,2016,1881,,
Livingston,0-17,2017,1898,,
,,,,,
Logan,0-17,2011,6400,,
Logan,0-17,2012,6371,,
Logan,0-17,2013,6436,,
Logan,0-17,2014,6495,,
Logan,0-17,2015,6504,,
Logan,0-17,2016,6296,,
Logan,0-17,2017,6459,,
Lyon,0-17,2011,1283,,
Lyon,0-17,2012,1278,,
Lyon,0-17,2013,1302,,
Lyon,0-17,2014,1293,,
Lyon,0-17,2015,1238,,
Lyon,0-17,2016,1185,,
Lyon,0-17,2017,1175,,
Madison,0-17,2011,17899,,
Madison,0-17,2012,17921,,
Madison,0-17,2013,18148,,
Madison,0-17,2014,18415,,
Madison,0-17,2015,18551,,
Madison,0-17,2016,18778,,
Madison,0-17,2017,19041,,
Magoffin,0-17,2011,3103,,
Magoffin,0-17,2012,3043,,
Magoffin,0-17,2013,2973,,
Magoffin,0-17,2014,2956,,
Magoffin,0-17,2015,2926,,
Magoffin,0-17,2016,2881,,
Magoffin,0-17,2017,2844,,
Marion,0-17,2011,4882,,
Marion,0-17,2012,4855,,
Marion,0-17,2013,4768,,
Marion,0-17,2014,4741,,
Marion,0-17,2015,4762,,
Marion,0-17,2016,4724,,
Marion,0-17,2017,4705,,
Marshall,0-17,2011,6458,,
Marshall,0-17,2012,6464,,
Marshall,0-17,2013,6289,,
Marshall,0-17,2014,6228,,
Marshall,0-17,2015,6409,,
Marshall,0-17,2016,6547,,
Marshall,0-17,2017,6544,,
Martin,0-17,2011,2684,,
Martin,0-17,2012,2671,,
Martin,0-17,2013,2688,,
Martin,0-17,2014,2588,,
Martin,0-17,2015,2536,,
Martin,0-17,2016,2415,,
Martin,0-17,2017,2270,,
Mason,0-17,2011,4257,,
Mason,0-17,2012,4215,,
Mason,0-17,2013,4105,,
Mason,0-17,2014,4049,,
Mason,0-17,2015,4017,,
Mason,0-17,2016,4027,,
Mason,0-17,2017,4019,,
McCracken,0-17,2011,14605,,
McCracken,0-17,2012,14415,,
McCracken,0-17,2013,14273,,
McCracken,0-17,2014,14303,,
McCracken,0-17,2015,14201,,
McCracken,0-17,2016,14307,,
McCracken,0-17,2017,14586,,
McCreary,0-17,2011,4074,,
McCreary,0-17,2012,3962,,
McCreary,0-17,2013,3918,,
McCreary,0-17,2014,3968,,
McCreary,0-17,2015,3912,,
McCreary,0-17,2016,3818,,
McCreary,0-17,2017,3797,,
McLean,0-17,2011,2214,,
McLean,0-17,2012,2195,,
McLean,0-17,2013,2235,,
McLean,0-17,2014,2244,,
McLean,0-17,2015,2259,,
McLean,0-17,2016,2261,,
McLean,0-17,2017,2146,,
Meade,0-17,2011,7948,,
Meade,0-17,2012,7684,,
Meade,0-17,2013,7410,,
Meade,0-17,2014,7152,,
Meade,0-17,2015,6619,,
Meade,0-17,2016,6536,,
Meade,0-17,2017,6388,,
Menifee,0-17,2011,1453,,
Menifee,0-17,2012,1372,,
Menifee,0-17,2013,1328,,
Menifee,0-17,2014,1280,,
Menifee,0-17,2015,1271,,
Menifee,0-17,2016,1256,,
Menifee,0-17,2017,1227,,
Mercer,0-17,2011,4925,,
Mercer,0-17,2012,4890,,
Mercer,0-17,2013,4899,,
Mercer,0-17,2014,4712,,
Mercer,0-17,2015,4775,,
Mercer,0-17,2016,4761,,
Mercer,0-17,2017,4696,,
Metcalfe,0-17,2011,2428,,
Metcalfe,0-17,2012,2347,,
Metcalfe,0-17,2013,2375,,
Metcalfe,0-17,2014,2358,,
Metcalfe,0-17,2015,2331,,
Metcalfe,0-17,2016,2358,,
