Location,TimeFrame,CHILDCARE_PROV_CNT
Warren,2010,61
Warren,2012,59
Warren,2014,58
Warren,2015,60
Warren,2016,59
Warren,2017,57
Warren,2018,58
Washington,2007,13
Washington,2008,13
Washington,2009,10
Washington,2010,12
Washington,2012,11
Washington,2014,11
Washington,2015,11
Washington,2016,9
Washington,2017,9
Washington,2018,8
Wayne,2007,27
Wayne,2008,28
Wayne,2009,25
Wayne,2010,21
Wayne,2012,20
Wayne,2014,18
Wayne,2015,17
Wayne,2016,16
Wayne,2017,15
Wayne,2018,14
Webster,2007,4
Webster,2008,3
Webster,2009,2
Webster,2010,5
Webster,2012,5
Webster,2014,2
Webster,2015,2
Webster,2016,4
Webster,2017,4
Webster,2018,4
Whitley,2007,28
Whitley,2008,27
Whitley,2009,27
Whitley,2010,28
Whitley,2012,23
Whitley,2014,19
Whitley,2015,16
Whitley,2016,15
Whitley,2017,14
Whitley,2018,14
Wolfe,2007,4
Wolfe,2008,4
Wolfe,2009,4
Wolfe,2010,5
Wolfe,2012,6
Wolfe,2014,5
Wolfe,2015,5
Wolfe,2016,5
Wolfe,2017,4
Wolfe,2018,3
Woodford,2007,23
Woodford,2008,22
Woodford,2009,24
Woodford,2010,25
Woodford,2012,19
Woodford,2014,19
Woodford,2015,17
Woodford,2016,17
Woodford,2017,17
Woodford,2018,17
