Location,TimeFrame,LOW_BIRTH_WEIGHT_PCT
Lewis,2010-2012,0.102
Lewis,2011-2013,0.095
Lewis,2012-2014,0.082
Lewis,2013-2015,0.078
Lewis,2014-2016,0.07952
Lewis,2015-2017,0.094
Lewis,2016-2018,0.091
Lincoln,2008-2010,0.082
Lincoln,2009-2011,0.089
Lincoln,2010-2012,0.098
Lincoln,2011-2013,0.1
Lincoln,2012-2014,0.1
Lincoln,2013-2015,0.091
Lincoln,2014-2016,0.08932
Lincoln,2015-2017,0.095
Lincoln,2016-2018,0.105
Livingston,2008-2010,0.076
Livingston,2009-2011,0.084
Livingston,2010-2012,0.1
Livingston,2011-2013,0.117
Livingston,2012-2014,0.1
Livingston,2013-2015,0.082
Livingston,2014-2016,0.06485
Livingston,2015-2017,0.069
Livingston,2016-2018,0.064
Logan,2008-2010,0.088
Logan,2009-2011,0.09
Logan,2010-2012,0.084
Logan,2011-2013,0.083
Logan,2012-2014,0.076
Logan,2013-2015,0.081
Logan,2014-2016,0.06728
Logan,2015-2017,0.061
Logan,2016-2018,0.078
Lyon,2008-2010,0.08
Lyon,2009-2011,0.102
Lyon,2010-2012,0.109
Lyon,2011-2013,0.092
Lyon,2012-2014,0.086
Lyon,2013-2015,0.08
Lyon,2014-2016,0.07692
Lyon,2015-2017,0.051
Lyon,2016-2018,0.079
McCracken,2008-2010,0.087
McCracken,2009-2011,0.087
McCracken,2010-2012,0.088
McCracken,2011-2013,0.086
McCracken,2012-2014,0.09
McCracken,2013-2015,0.087
McCracken,2014-2016,0.09216
McCracken,2015-2017,0.088
McCracken,2016-2018,0.084
McCreary,2008-2010,0.092
McCreary,2009-2011,0.089
McCreary,2010-2012,0.106
McCreary,2011-2013,0.108
McCreary,2012-2014,0.109
McCreary,2013-2015,0.102
McCreary,2014-2016,0.11521
McCreary,2015-2017,0.101
McCreary,2016-2018,0.096
McLean,2008-2010,0.073
McLean,2009-2011,0.072
McLean,2010-2012,0.073
McLean,2011-2013,0.096
McLean,2012-2014,0.105
McLean,2013-2015,0.114
McLean,2014-2016,0.11724
McLean,2015-2017,0.121
McLean,2016-2018,0.112
Madison,2008-2010,0.091
Madison,2009-2011,0.095
Madison,2010-2012,0.093
Madison,2011-2013,0.091
Madison,2012-2014,0.082
Madison,2013-2015,0.085
Madison,2014-2016,0.08643
Madison,2015-2017,0.098
Madison,2016-2018,0.098
Magoffin,2008-2010,0.112
Magoffin,2009-2011,0.113
Magoffin,2010-2012,0.102
Magoffin,2011-2013,0.079
Magoffin,2012-2014,0.095
Magoffin,2013-2015,0.101
Magoffin,2014-2016,0.12258
Magoffin,2015-2017,0.119
Magoffin,2016-2018,0.114
Marion,2008-2010,0.094
Marion,2009-2011,0.097
Marion,2010-2012,0.094
Marion,2011-2013,0.096
Marion,2012-2014,0.086
Marion,2013-2015,0.078
Marion,2014-2016,0.07497
Marion,2015-2017,0.079
Marion,2016-2018,0.102
Marshall,2008-2010,0.072
Marshall,2009-2011,0.073
Marshall,2010-2012,0.069
Marshall,2011-2013,0.062
Marshall,2012-2014,0.057
Marshall,2013-2015,0.064
Marshall,2014-2016,0.08048
Marshall,2015-2017,0.094
Marshall,2016-2018,0.084
Martin,2008-2010,0.166
Martin,2009-2011,0.167
Martin,2010-2012,0.13
Martin,2011-2013,0.119
Martin,2012-2014,0.12
Martin,2013-2015,0.112
Martin,2014-2016,0.12155
Martin,2015-2017,0.106
Martin,2016-2018,0.127
Mason,2008-2010,0.113
Mason,2009-2011,0.098
Mason,2010-2012,0.08
Mason,2011-2013,0.066
Mason,2012-2014,0.071
Mason,2013-2015,0.085
Mason,2014-2016,0.08157
Mason,2015-2017,0.085
Mason,2016-2018,0.085
Meade,2008-2010,0.091
Meade,2009-2011,0.087
Meade,2010-2012,0.073
Meade,2011-2013,0.063
Meade,2012-2014,0.068
Meade,2013-2015,0.079
Meade,2014-2016,0.0796
Meade,2015-2017,0.073
Meade,2016-2018,0.075
Menifee,2008-2010,0.113
Menifee,2009-2011,0.116
Menifee,2010-2012,0.095
Menifee,2011-2013,0.061
Menifee,2012-2014,0.058
Menifee,2013-2015,0.061
Menifee,2014-2016,0.08969
Menifee,2015-2017,0.089
Menifee,2016-2018,0.106
Mercer,2008-2010,0.071
Mercer,2009-2011,0.075
Mercer,2010-2012,0.08
Mercer,2011-2013,0.103
Mercer,2012-2014,0.094
Mercer,2013-2015,0.086
Mercer,2014-2016,0.07568
Mercer,2015-2017,0.089
Mercer,2016-2018,0.093
Metcalfe,2008-2010,0.075
Metcalfe,2009-2011,0.093
Metcalfe,2010-2012,0.099
Metcalfe,2011-2013,0.092
Metcalfe,2012-2014,0.065
Metcalfe,2013-2015,0.065
Metcalfe,2014-2016,0.07273
Metcalfe,2015-2017,0.083
Metcalfe,2016-2018,0.093
Monroe,2008-2010,0.093
Monroe,2009-2011,0.095
Monroe,2010-2012,0.096
