Location,TimeFrame,CHILD_SUPPORT_COLLECT_PCT
Green,2018,0.72
Green,2019,0.69
Greenup,2000,0.48
Greenup,2001,0.49
Greenup,2002,0.48
Greenup,2003,0.5
Greenup,2004,0.5
Greenup,2005,0.5
Greenup,2006,0.52
Greenup,2007,0.53
Greenup,2008,0.52
Greenup,2009,0.51
Greenup,2010,0.5
Greenup,2011,0.5
Greenup,2012,0.49
Greenup,2013,0.5
Greenup,2014,0.5
Greenup,2015,0.51
Greenup,2016,0.52
Greenup,2017,0.53
Greenup,2018,0.53
Greenup,2019,0.55
Hancock,2000,0.53
Hancock,2001,0.53
Hancock,2002,0.53
Hancock,2003,0.57
Hancock,2004,0.59
Hancock,2005,0.56
Hancock,2006,0.58
Hancock,2007,0.6
Hancock,2008,0.63
Hancock,2009,0.6
Hancock,2010,0.64
Hancock,2011,0.67
Hancock,2012,0.7
Hancock,2013,0.71
Hancock,2014,0.71
Hancock,2015,0.74
Hancock,2016,0.76
Hancock,2017,0.76
Hancock,2018,0.78
Hancock,2019,0.8
Hardin,2000,0.56
Hardin,2001,0.58
Hardin,2002,0.57
Hardin,2003,0.58
Hardin,2004,0.6
Hardin,2005,0.63
Hardin,2006,0.66
Hardin,2007,0.67
Hardin,2008,0.65
Hardin,2009,0.65
Hardin,2010,0.65
Hardin,2011,0.65
Hardin,2012,0.64
Hardin,2013,0.65
Hardin,2014,0.65
Hardin,2015,0.66
Hardin,2016,0.66
Hardin,2017,0.66
Hardin,2018,0.66
Hardin,2019,0.65
Harlan,2000,0.61
Harlan,2001,0.6
Harlan,2002,0.55
Harlan,2003,0.57
Harlan,2004,0.57
Harlan,2005,0.59
Harlan,2006,0.6
Harlan,2007,0.62
Harlan,2008,0.64
Harlan,2009,0.68
Harlan,2010,0.68
Harlan,2011,0.68
Harlan,2012,0.68
Harlan,2013,0.65
Harlan,2014,0.61
Harlan,2015,0.6
Harlan,2016,0.62
Harlan,2017,0.64
Harlan,2018,0.66
Harlan,2019,0.67
Harrison,2000,0.74
Harrison,2001,0.74
Harrison,2002,0.7
Harrison,2003,0.68
Harrison,2004,0.68
Harrison,2005,0.64
Harrison,2006,0.63
Harrison,2007,0.62
Harrison,2008,0.63
Harrison,2009,0.61
Harrison,2010,0.61
Harrison,2011,0.61
Harrison,2012,0.6
Harrison,2013,0.58
Harrison,2014,0.58
Harrison,2015,0.59
Harrison,2016,0.57
Harrison,2017,0.57
Harrison,2018,0.6
Harrison,2019,0.58
Hart,2000,0.59
Hart,2001,0.58
Hart,2002,0.56
Hart,2003,0.6
Hart,2004,0.62
Hart,2005,0.61
Hart,2006,0.61
Hart,2007,0.6
Hart,2008,0.62
Hart,2009,0.61
Hart,2010,0.61
Hart,2011,0.63
Hart,2012,0.63
Hart,2013,0.63
Hart,2014,0.64
Hart,2015,0.66
Hart,2016,0.66
Hart,2017,0.65
Hart,2018,0.63
Hart,2019,0.63
Henderson,2000,0.59
Henderson,2001,0.61
Henderson,2002,0.59
Henderson,2003,0.61
Henderson,2004,0.61
Henderson,2005,0.6
Henderson,2006,0.62
Henderson,2007,0.62
Henderson,2008,0.62
Henderson,2009,0.61
Henderson,2010,0.59
Henderson,2011,0.59
Henderson,2012,0.62
Henderson,2013,0.6
Henderson,2014,0.61
Henderson,2015,0.63
Henderson,2016,0.61
Henderson,2017,0.6
Henderson,2018,0.58
Henderson,2019,0.59
Henry,2000,0.65
Henry,2001,0.65
Henry,2002,0.6
Henry,2003,0.64
Henry,2004,0.62
Henry,2005,0.61
Henry,2006,0.62
Henry,2007,0.61
Henry,2008,0.62
Henry,2009,0.6
Henry,2010,0.61
Henry,2011,0.62
Henry,2012,0.62
Henry,2013,0.61
Henry,2014,0.61
Henry,2015,0.61
Henry,2016,0.6
Henry,2017,0.59
Henry,2018,0.62
Henry,2019,0.62
Hickman,2000,0.51
Hickman,2001,0.5
Hickman,2002,0.47
Hickman,2003,0.49
Hickman,2004,0.54
Hickman,2005,0.55
Hickman,2006,0.59
Hickman,2007,0.63
Hickman,2008,0.58
Hickman,2009,0.6
Hickman,2010,0.62
Hickman,2011,0.63
Hickman,2012,0.64
Hickman,2013,0.62
Hickman,2014,0.62
Hickman,2015,0.62
Hickman,2016,0.63
Hickman,2017,0.66
Hickman,2018,0.67
Hickman,2019,0.69
Hopkins,2000,0.54
Hopkins,2001,0.55
Hopkins,2002,0.54
Hopkins,2003,0.55
Hopkins,2004,0.53
Hopkins,2005,0.53
Hopkins,2006,0.57
Hopkins,2007,0.6
Hopkins,2008,0.62
Hopkins,2009,0.64
Hopkins,2010,0.66
Hopkins,2011,0.66
Hopkins,2012,0.67
Hopkins,2013,0.65
Hopkins,2014,0.66
Hopkins,2015,0.64
Hopkins,2016,0.64
Hopkins,2017,0.64
Hopkins,2018,0.63
Hopkins,2019,0.65
Jackson,2000,0.42
Jackson,2001,0.46
Jackson,2002,0.46
Jackson,2003,0.46
Jackson,2004,0.44
Jackson,2005,0.44
Jackson,2006,0.42
Jackson,2007,0.42
Jackson,2008,0.45
Jackson,2009,0.44
Jackson,2010,0.43
Jackson,2011,0.41
Jackson,2012,0.4
Jackson,2013,0.42
Jackson,2014,0.44
Jackson,2015,0.47
Jackson,2016,0.47
Jackson,2017,0.47
Jackson,2018,0.46
Jackson,2019,0.46
Jefferson,2000,0.47
Jefferson,2001,0.46
Jefferson,2002,0.42
Jefferson,2003,0.43
Jefferson,2004,0.45
Jefferson,2005,0.45
Jefferson,2006,0.48
Jefferson,2007,0.47
Jefferson,2008,0.48
Jefferson,2009,0.49
Jefferson,2010,0.49
Jefferson,2011,0.51
Jefferson,2012,0.52
Jefferson,2013,0.51
Jefferson,2014,0.51
Jefferson,2015,0.52
Jefferson,2016,0.51
Jefferson,2017,0.51
Jefferson,2018,0.51
Jefferson,2019,0.51
Jessamine,2000,0.55
Jessamine,2001,0.54
Jessamine,2002,0.48
Jessamine,2003,0.5
Jessamine,2004,0.53
Jessamine,2005,0.53
Jessamine,2006,0.54
Jessamine,2007,0.54
Jessamine,2008,0.55
Jessamine,2009,0.54
Jessamine,2010,0.53
Jessamine,2011,0.54
Jessamine,2012,0.53
Jessamine,2013,0.51
Jessamine,2014,0.52
Jessamine,2015,0.55
Jessamine,2016,0.54
Jessamine,2017,0.57
Jessamine,2018,0.57
Jessamine,2019,0.58
Johnson,2000,0.44
Johnson,2001,0.49
Johnson,2002,0.5
Johnson,2003,0.51
Johnson,2004,0.47
Johnson,2005,0.54
Johnson,2006,0.57
Johnson,2007,0.57
Johnson,2008,0.55
Johnson,2009,0.53
Johnson,2010,0.52
Johnson,2011,0.53
Johnson,2012,0.57
Johnson,2013,0.58
Johnson,2014,0.57
Johnson,2015,0.57
Johnson,2016,0.59
Johnson,2017,0.62
Johnson,2018,0.63
Johnson,2019,0.64
Kenton,2000,0.58
Kenton,2001,0.58
Kenton,2002,0.59
Kenton,2003,0.6
