Location,TimeFrame,CHILD_POVERTY_PCT
Edmonson,2001,24.1
Edmonson,2002,24.4
Edmonson,2003,25.6
Edmonson,2004,25.7
Edmonson,2005,28
Edmonson,2006,28.4
Edmonson,2007,26.2
Edmonson,2008,29
Edmonson,2009,29.4
Edmonson,2010,30.1
Edmonson,2011,28
Edmonson,2012,28.3
Edmonson,2013,29.3
Edmonson,2014,28.4
Edmonson,2015,28.6
Edmonson,2016,30.7
Edmonson,2017,24.5
Edmonson,2018,22.1
Elliott,1997,39.4
Elliott,1998,35.5
Elliott,1999,32.3
Elliott,2000,30.8
Elliott,2001,31.8
Elliott,2002,33.4
Elliott,2003,32.3
Elliott,2004,34
Elliott,2005,40
Elliott,2006,38.3
Elliott,2007,37.9
Elliott,2008,40.6
Elliott,2009,38.8
Elliott,2010,36
Elliott,2011,38.4
Elliott,2012,39
Elliott,2013,38.1
Elliott,2014,40.2
Elliott,2015,40.3
Elliott,2016,37
Elliott,2017,35
Elliott,2018,29.1
Estill,1997,33.7
Estill,1998,31.1
Estill,1999,29.2
Estill,2000,33
Estill,2001,28.4
Estill,2002,31.7
Estill,2003,31.3
Estill,2004,32.8
Estill,2005,39
Estill,2006,35.8
Estill,2007,36.2
Estill,2008,36.3
Estill,2009,42.5
Estill,2010,42.2
Estill,2011,40.5
Estill,2012,39.7
Estill,2013,40.3
Estill,2014,38
Estill,2015,38.8
Estill,2016,39.1
Estill,2017,29.8
Estill,2018,33
Fayette,1997,16.9
Fayette,1998,16.8
Fayette,1999,15.7
Fayette,2000,14.7
Fayette,2001,15.5
Fayette,2002,17.2
Fayette,2003,17.7
Fayette,2004,18.2
Fayette,2005,17
Fayette,2006,18.5
Fayette,2007,19.5
Fayette,2008,19.2
Fayette,2009,19.9
Fayette,2010,23.9
Fayette,2011,21.2
Fayette,2012,20.2
Fayette,2013,21.8
Fayette,2014,23.7
Fayette,2015,22.6
Fayette,2016,22.3
Fayette,2017,17.1
Fayette,2018,17.3
Fleming,1997,28.8
Fleming,1998,25.7
Fleming,1999,24.8
Fleming,2000,25.2
Fleming,2001,25.5
Fleming,2002,25.4
Fleming,2003,25.3
Fleming,2004,25.6
Fleming,2005,28
Fleming,2006,28.1
Fleming,2007,27.3
Fleming,2008,27.7
Fleming,2009,31.3
Fleming,2010,30.8
Fleming,2011,32
Fleming,2012,31.3
Fleming,2013,32.1
Fleming,2014,30.2
Fleming,2015,31.8
Fleming,2016,33.8
Fleming,2017,25.4
Fleming,2018,29.1
Floyd,1997,37.2
Floyd,1998,31
Floyd,1999,33.4
Floyd,2000,40.1
Floyd,2001,33.7
Floyd,2002,35.9
Floyd,2003,34.8
Floyd,2004,35.7
Floyd,2005,39
Floyd,2006,41.1
Floyd,2007,44.4
Floyd,2008,38.7
Floyd,2009,40.8
Floyd,2010,43.5
Floyd,2011,37.5
Floyd,2012,43.9
Floyd,2013,37.9
Floyd,2014,44.3
Floyd,2015,43.1
Floyd,2016,38.4
Floyd,2017,39
Floyd,2018,44.3
Franklin,1997,17.1
Franklin,1998,15.8
Franklin,1999,15.3
Franklin,2000,12.8
Franklin,2001,14
Franklin,2002,15
Franklin,2003,15.7
Franklin,2004,17
Franklin,2005,17
Franklin,2006,16.6
Franklin,2007,17.8
Franklin,2008,18.1
Franklin,2009,21.1
Franklin,2010,23
Franklin,2011,22.4
Franklin,2012,24
Franklin,2013,24.2
Franklin,2014,21.3
Franklin,2015,22.5
Franklin,2016,20.9
Franklin,2017,19.2
Franklin,2018,18.8
Fulton,1997,38
Fulton,1998,34.3
Fulton,1999,30
Fulton,2000,32.5
Fulton,2001,31.5
Fulton,2002,31.7
Fulton,2003,32.6
Fulton,2004,33.2
Fulton,2005,38
Fulton,2006,39.3
Fulton,2007,42.8
Fulton,2008,44.7
Fulton,2009,44.4
Fulton,2010,41.5
Fulton,2011,44.7
Fulton,2012,43.9
Fulton,2013,45.6
Fulton,2014,44.9
Fulton,2015,47.6
Fulton,2016,46.7
Fulton,2017,42.8
Fulton,2018,46.1
Gallatin,1997,23.6
Gallatin,1998,16.4
Gallatin,1999,20
Gallatin,2000,17.1
Gallatin,2001,18.1
Gallatin,2002,18.5
Gallatin,2003,19.9
Gallatin,2004,21.2
Gallatin,2005,25
Gallatin,2006,24.3
Gallatin,2007,24.5
Gallatin,2008,24.2
Gallatin,2009,27.7
Gallatin,2010,25.3
Gallatin,2011,28.1
Gallatin,2012,27.5
Gallatin,2013,24.5
Gallatin,2014,25.5
Gallatin,2015,23.8
Gallatin,2016,23.9
Gallatin,2017,21.8
Gallatin,2018,23.6
Garrard,1997,22.9
Garrard,1998,22.6
Garrard,1999,20.1
Garrard,2000,19.7
Garrard,2001,20.3
Garrard,2002,20.9
Garrard,2003,21.1
Garrard,2004,20.8
Garrard,2005,22
Garrard,2006,22.1
Garrard,2007,24.8
Garrard,2008,22.9
Garrard,2009,26.8
Garrard,2010,25.8
Garrard,2011,31.2
Garrard,2012,28.2
Garrard,2013,28.7
Garrard,2014,26.7
Garrard,2015,24.3
Garrard,2016,24.4
Garrard,2017,23.8
Garrard,2018,23.5
Grant,1997,19.7
Grant,1998,18.5
Grant,1999,17.3
Grant,2000,15.5
Grant,2001,17.5
Grant,2002,18.7
Grant,2003,18.1
Grant,2004,19
Grant,2005,19
Grant,2006,20.4
Grant,2007,25.5
Grant,2008,21.3
Grant,2009,25.4
Grant,2010,26.1
Grant,2011,25
Grant,2012,26.3
Grant,2013,27.9
Grant,2014,25.9
Grant,2015,27
Grant,2016,22
Grant,2017,20.7
Grant,2018,20.3
Graves,1997,21.1
Graves,1998,21.3
Graves,1999,20.8
Graves,2000,22.7
Graves,2001,21
Graves,2002,21.1
Graves,2003,21.4
Graves,2004,22.9
Graves,2005,25
Graves,2006,25
Graves,2007,24.8
Graves,2008,28.7
Graves,2009,28
Graves,2010,28.6
Graves,2011,29.4
Graves,2012,28.1
Graves,2013,28.7
Graves,2014,26
Graves,2015,27.4
Graves,2016,30
Graves,2017,24.9
Graves,2018,25.4
