Location,TimeFrame,SMOKING_MOM_PCT
Knott,2010-2012,0.342
Knott,2011-2013,0.319
Knott,2012-2014,0.329
Knott,2013-2015,0.304
Knott,2014-2016,0.318
Knott,2015-2017,0.311
Knott,2016-2018,0.333
Knox,2008-2010,0.387
Knox,2009-2011,0.369
Knox,2010-2012,0.363
Knox,2011-2013,0.35
Knox,2012-2014,0.35
Knox,2013-2015,0.334
Knox,2014-2016,0.325
Knox,2015-2017,0.312
Knox,2016-2018,0.289
Larue,2008-2010,0.217
Larue,2009-2011,0.189
Larue,2010-2012,0.207
Larue,2011-2013,0.201
Larue,2012-2014,0.202
Larue,2013-2015,0.182
Larue,2014-2016,0.177
Larue,2015-2017,0.204
Larue,2016-2018,0.231
Laurel,2008-2010,0.317
Laurel,2009-2011,0.292
Laurel,2010-2012,0.296
Laurel,2011-2013,0.304
Laurel,2012-2014,0.304
Laurel,2013-2015,0.287
Laurel,2014-2016,0.263
Laurel,2015-2017,0.269
Laurel,2016-2018,0.26
Lawrence,2008-2010,0.3
Lawrence,2009-2011,0.306
Lawrence,2010-2012,0.308
Lawrence,2011-2013,0.317
Lawrence,2012-2014,0.27
Lawrence,2013-2015,0.266
Lawrence,2014-2016,0.248
Lawrence,2015-2017,0.261
Lawrence,2016-2018,0.259
Lee,2008-2010,0.518
Lee,2009-2011,0.455
Lee,2010-2012,0.43
Lee,2011-2013,0.488
Lee,2012-2014,0.476
Lee,2013-2015,0.464
Lee,2014-2016,0.425
Lee,2015-2017,0.427
Lee,2016-2018,0.357
Leslie,2008-2010,0.381
Leslie,2009-2011,0.361
Leslie,2010-2012,0.352
Leslie,2011-2013,0.379
Leslie,2012-2014,0.373
Leslie,2013-2015,0.371
Leslie,2014-2016,0.349
Leslie,2015-2017,0.34
Leslie,2016-2018,0.344
Letcher,2008-2010,0.36
Letcher,2009-2011,0.337
Letcher,2010-2012,0.337
Letcher,2011-2013,0.301
Letcher,2012-2014,0.303
Letcher,2013-2015,0.3
Letcher,2014-2016,0.308
Letcher,2015-2017,0.296
Letcher,2016-2018,0.271
Lewis,2008-2010,0.324
