Location,TimeFrame,SINGLE_PARENT_PCT
Leslie,2008-2012,0.22
Leslie,2009-2013,0.28
Leslie,2010-2014,0.24
Leslie,2011-2015,0.26
Leslie,2012-2016,0.22
Leslie,2013-2017,0.16
Letcher,2007-2011,0.23
Letcher,2008-2012,0.2
Letcher,2009-2013,0.25
Letcher,2010-2014,0.3
Letcher,2011-2015,0.34
Letcher,2012-2016,0.37
Letcher,2013-2017,0.4
Lewis,2007-2011,0.34
Lewis,2008-2012,0.3
Lewis,2009-2013,0.34
Lewis,2010-2014,0.3
Lewis,2011-2015,0.32
Lewis,2012-2016,0.23
Lewis,2013-2017,0.22
Lincoln,2007-2011,0.26
Lincoln,2008-2012,0.3
Lincoln,2009-2013,0.33
Lincoln,2010-2014,0.36
Lincoln,2011-2015,0.36
Lincoln,2012-2016,0.33
Lincoln,2013-2017,0.25
Livingston,2007-2011,0.28
Livingston,2008-2012,0.35
Livingston,2009-2013,0.35
Livingston,2010-2014,0.34
Livingston,2011-2015,0.3
Livingston,2012-2016,0.2
Livingston,2013-2017,0.18
Logan,2007-2011,0.38
Logan,2008-2012,0.36
Logan,2009-2013,0.36
Logan,2010-2014,0.37
Logan,2011-2015,0.33
Logan,2012-2016,0.31
Logan,2013-2017,0.3
Lyon,2007-2011,0.19
Lyon,2008-2012,0.25
Lyon,2009-2013,0.32
Lyon,2010-2014,0.29
Lyon,2011-2015,0.29
Lyon,2012-2016,0.29
Lyon,2013-2017,S
McCracken,2007-2011,0.32
McCracken,2008-2012,0.33
McCracken,2009-2013,0.33
McCracken,2010-2014,0.39
McCracken,2011-2015,0.38
McCracken,2012-2016,0.39
McCracken,2013-2017,0.38
McCreary,2007-2011,0.24
McCreary,2008-2012,0.2
McCreary,2009-2013,0.22
McCreary,2010-2014,0.19
McCreary,2011-2015,0.24
McCreary,2012-2016,0.24
McCreary,2013-2017,0.25
McLean,2007-2011,0.31
McLean,2008-2012,0.34
McLean,2009-2013,0.35
McLean,2010-2014,0.32
McLean,2011-2015,0.34
McLean,2012-2016,0.3
McLean,2013-2017,0.33
Madison,2007-2011,0.32
Madison,2008-2012,0.32
Madison,2009-2013,0.32
Madison,2010-2014,0.28
Madison,2011-2015,0.27
Madison,2012-2016,0.27
Madison,2013-2017,0.24
Magoffin,2007-2011,0.24
Magoffin,2008-2012,0.37
Magoffin,2009-2013,0.33
Magoffin,2010-2014,0.27
Magoffin,2011-2015,0.29
Magoffin,2012-2016,0.32
Magoffin,2013-2017,0.25
Marion,2007-2011,0.26
Marion,2008-2012,0.31
Marion,2009-2013,0.31
Marion,2010-2014,0.33
Marion,2011-2015,0.32
Marion,2012-2016,0.37
Marion,2013-2017,0.39
Marshall,2007-2011,0.24
Marshall,2008-2012,0.23
Marshall,2009-2013,0.24
Marshall,2010-2014,0.28
Marshall,2011-2015,0.28
Marshall,2012-2016,0.24
Marshall,2013-2017,0.22
Martin,2007-2011,0.48
Martin,2008-2012,0.43
Martin,2009-2013,0.43
Martin,2010-2014,0.38
Martin,2011-2015,0.33
Martin,2012-2016,S
Martin,2013-2017,S
Mason,2007-2011,0.32
Mason,2008-2012,0.35
Mason,2009-2013,0.36
Mason,2010-2014,0.35
Mason,2011-2015,0.32
Mason,2012-2016,0.34
Mason,2013-2017,0.29
Meade,2007-2011,0.28
Meade,2008-2012,0.28
Meade,2009-2013,0.3
Meade,2010-2014,0.27
Meade,2011-2015,0.27
Meade,2012-2016,0.26
Meade,2013-2017,0.21
Menifee,2007-2011,S
Menifee,2008-2012,0.23
Menifee,2009-2013,0.3
Menifee,2010-2014,0.33
Menifee,2011-2015,0.36
Menifee,2012-2016,0.43
Menifee,2013-2017,0.35
Mercer,2007-2011,0.26
Mercer,2008-2012,0.26
Mercer,2009-2013,0.29
Mercer,2010-2014,0.32
Mercer,2011-2015,0.28
Mercer,2012-2016,0.28
Mercer,2013-2017,0.29
Metcalfe,2007-2011,0.2
Metcalfe,2008-2012,0.2
