Location,TimeFrame,SNAP_CNT
Henry,2015,945
Henry,2016,852
Henry,2017,871
Henry,2018,772
Hickman,2000,229
Hickman,2005,243
Hickman,2006,234
Hickman,2007,244
Hickman,2008,242
Hickman,2009,284
Hickman,2010,305
Hickman,2011,296
Hickman,2012,303
Hickman,2013,328
Hickman,2014,299
Hickman,2015,280
Hickman,2016,290
Hickman,2017,300
Hickman,2018,274
Hopkins,2000,2255
Hopkins,2005,2883
Hopkins,2006,2783
Hopkins,2007,2900
Hopkins,2008,2928
Hopkins,2009,3225
Hopkins,2010,3457
Hopkins,2011,3519
Hopkins,2012,3516
Hopkins,2013,3419
Hopkins,2014,3118
Hopkins,2015,2968
Hopkins,2016,2899
Hopkins,2017,3019
Hopkins,2018,2938
Jackson,2000,1036
Jackson,2005,1193
Jackson,2006,1224
Jackson,2007,1254
Jackson,2008,1263
Jackson,2009,1324
Jackson,2010,1359
Jackson,2011,1409
Jackson,2012,1383
Jackson,2013,1410
Jackson,2014,1319
Jackson,2015,1236
Jackson,2016,1212
Jackson,2017,1319
Jackson,2018,1224
Jefferson,2000,27036
Jefferson,2005,38871
Jefferson,2006,39426
Jefferson,2007,40270
Jefferson,2008,40949
Jefferson,2009,45720
Jefferson,2010,50387
Jefferson,2011,52133
Jefferson,2012,52958
Jefferson,2013,52851
Jefferson,2014,50644
Jefferson,2015,47415
Jefferson,2016,42260
Jefferson,2017,45158
Jefferson,2018,42820
Jessamine,2000,1175
Jessamine,2005,2223
Jessamine,2006,2298
Jessamine,2007,2440
Jessamine,2008,2517
Jessamine,2009,2743
Jessamine,2010,2992
Jessamine,2011,3175
Jessamine,2012,3308
Jessamine,2013,3360
Jessamine,2014,3199
Jessamine,2015,3170
Jessamine,2016,2910
Jessamine,2017,3036
Jessamine,2018,2902
Johnson,2000,1947
Johnson,2005,2081
Johnson,2006,2091
Johnson,2007,2036
Johnson,2008,1939
Johnson,2009,2080
Johnson,2010,2177
Johnson,2011,2171
Johnson,2012,2243
Johnson,2013,2263
