Location,TimeFrame,CHILD_DEEP_POV_PCT
Hancock,2009-2013,0.08
Hancock,2010-2014,0.11
Hancock,2011-2015,0.14
Hancock,2012-2016,0.15
Hancock,2013-2017,0.17
Hancock,2014-2018,0.17
Hardin,2005-2009,0.07
Hardin,2006-2010,0.09
Hardin,2007-2011,0.12
Hardin,2008-2012,0.12
Hardin,2009-2013,0.13
Hardin,2010-2014,0.12
Hardin,2011-2015,0.1
Hardin,2012-2016,0.08
Hardin,2013-2017,0.08
Hardin,2014-2018,0.07
Harlan,2005-2009,0.22
Harlan,2006-2010,0.21
Harlan,2007-2011,0.24
Harlan,2008-2012,0.23
Harlan,2009-2013,0.21
Harlan,2010-2014,0.2
Harlan,2011-2015,0.19
Harlan,2012-2016,0.2
Harlan,2013-2017,0.21
Harlan,2014-2018,0.24
Harrison,2005-2009,0.07
Harrison,2006-2010,0.11
Harrison,2007-2011,0.13
Harrison,2008-2012,0.15
Harrison,2009-2013,0.13
Harrison,2010-2014,0.12
Harrison,2011-2015,0.11
Harrison,2012-2016,S
Harrison,2013-2017,0.06
Harrison,2014-2018,0.08
Hart,2005-2009,0.11
Hart,2006-2010,0.1
Hart,2007-2011,0.12
Hart,2008-2012,0.14
Hart,2009-2013,0.15
Hart,2010-2014,0.14
Hart,2011-2015,0.12
Hart,2012-2016,0.09
Hart,2013-2017,0.08
Hart,2014-2018,0.11
Henderson,2005-2009,0.11
Henderson,2006-2010,0.11
Henderson,2007-2011,0.1
Henderson,2008-2012,0.1
Henderson,2009-2013,0.13
Henderson,2010-2014,0.13
Henderson,2011-2015,0.12
Henderson,2012-2016,0.13
Henderson,2013-2017,0.11
Henderson,2014-2018,0.1
Henry,2005-2009,0.09
Henry,2006-2010,0.12
Henry,2007-2011,0.19
Henry,2008-2012,0.17
Henry,2009-2013,0.13
Henry,2010-2014,0.16
Henry,2011-2015,0.17
Henry,2012-2016,0.14
Henry,2013-2017,0.14
Henry,2014-2018,0.16
Hickman,2005-2009,S
Hickman,2006-2010,0.09
Hickman,2007-2011,S
Hickman,2008-2012,S
Hickman,2009-2013,0.1
Hickman,2010-2014,S
Hickman,2011-2015,S
Hickman,2012-2016,S
Hickman,2013-2017,S
Hickman,2014-2018,S
Hopkins,2005-2009,0.1
Hopkins,2006-2010,0.12
Hopkins,2007-2011,0.15
Hopkins,2008-2012,0.16
Hopkins,2009-2013,0.13
Hopkins,2010-2014,0.14
Hopkins,2011-2015,0.14
Hopkins,2012-2016,0.12
Hopkins,2013-2017,0.15
Hopkins,2014-2018,0.16
Jackson,2005-2009,0.18
Jackson,2006-2010,0.17
Jackson,2007-2011,0.21
Jackson,2008-2012,0.19
Jackson,2009-2013,0.2
Jackson,2010-2014,0.2
Jackson,2011-2015,0.19
Jackson,2012-2016,0.18
Jackson,2013-2017,0.16
Jackson,2014-2018,0.17
Jefferson,2005-2009,0.12
Jefferson,2006-2010,0.12
Jefferson,2007-2011,0.12
Jefferson,2008-2012,0.12
Jefferson,2009-2013,0.12
Jefferson,2010-2014,0.11
Jefferson,2011-2015,0.11
Jefferson,2012-2016,0.11
Jefferson,2013-2017,0.1
Jefferson,2014-2018,0.1
Jessamine,2005-2009,0.11
Jessamine,2006-2010,0.11
Jessamine,2007-2011,0.13
Jessamine,2008-2012,0.1
Jessamine,2009-2013,0.12
Jessamine,2010-2014,0.12
Jessamine,2011-2015,0.15
Jessamine,2012-2016,0.14
Jessamine,2013-2017,0.14
Jessamine,2014-2018,0.14
Johnson,2005-2009,0.14
Johnson,2006-2010,0.17
Johnson,2007-2011,0.17
Johnson,2008-2012,0.17
Johnson,2009-2013,0.22
Johnson,2010-2014,0.21
Johnson,2011-2015,0.18
Johnson,2012-2016,0.16
Johnson,2013-2017,0.15
Johnson,2014-2018,0.12
Kenton,2005-2009,0.07
Kenton,2006-2010,0.06
Kenton,2007-2011,0.08
Kenton,2008-2012,0.09
Kenton,2009-2013,0.1
Kenton,2010-2014,0.12
Kenton,2011-2015,0.12
Kenton,2012-2016,0.11
Kenton,2013-2017,0.11
Kenton,2014-2018,0.1
Knott,2005-2009,0.2
Knott,2006-2010,0.22
Knott,2007-2011,0.18
Knott,2008-2012,0.15
Knott,2009-2013,0.11
Knott,2010-2014,0.15
Knott,2011-2015,0.21
Knott,2012-2016,0.2
Knott,2013-2017,0.21
Knott,2014-2018,0.26
Knox,2005-2009,0.24
Knox,2006-2010,0.23
Knox,2007-2011,0.22
Knox,2008-2012,0.18
Knox,2009-2013,0.21
Knox,2010-2014,0.19
Knox,2011-2015,0.2
Knox,2012-2016,0.24
Knox,2013-2017,0.23
Knox,2014-2018,0.22
Larue,2005-2009,0.11
Larue,2006-2010,0.17
Larue,2007-2011,0.2
Larue,2008-2012,0.18
Larue,2009-2013,0.19
Larue,2010-2014,0.17
Larue,2011-2015,0.13
Larue,2012-2016,0.14
Larue,2013-2017,0.13
Larue,2014-2018,0.12
Laurel,2005-2009,0.12
Laurel,2006-2010,0.11
Laurel,2007-2011,0.13
Laurel,2008-2012,0.13
Laurel,2009-2013,0.14
Laurel,2010-2014,0.16
Laurel,2011-2015,0.2
Laurel,2012-2016,0.2
