Location,TimeFrame,FOSTER_KIDS_PCT
Logan,2013,0.89
Logan,2014,0.91
Logan,2015,0.85
Logan,2016,0.79
Logan,2017,0.69
Logan,2018,0.67
Lyon,2003,0.5
Lyon,2006,0.56
Lyon,2007,0.67
Lyon,2008,0.46
Lyon,2009,0.46
Lyon,2010,0.63
Lyon,2011,0.63
Lyon,2012,0.46
Lyon,2013,0.48
Lyon,2014,0.38
Lyon,2015,0.41
Lyon,2016,0.44
Lyon,2017,0.41
Lyon,2018,0.36
McCracken,2003,0.64
McCracken,2006,0.59
McCracken,2007,0.65
McCracken,2008,0.69
McCracken,2009,0.7
McCracken,2010,0.81
McCracken,2011,0.61
McCracken,2012,0.68
McCracken,2013,0.64
McCracken,2014,0.56
McCracken,2015,0.62
McCracken,2016,0.57
McCracken,2017,0.52
McCracken,2018,0.54
McCreary,2003,0.54
McCreary,2006,0.52
McCreary,2007,0.51
McCreary,2008,0.55
McCreary,2009,0.54
McCreary,2010,0.67
McCreary,2011,0.64
McCreary,2012,0.69
McCreary,2013,0.6
McCreary,2014,0.59
McCreary,2015,0.52
McCreary,2016,0.45
McCreary,2017,0.54
McCreary,2018,0.62
McLean,2003,0.55
McLean,2006,0.85
McLean,2007,0.42
McLean,2008,0.67
McLean,2009,0.75
McLean,2010,0.64
McLean,2011,0.8
McLean,2012,0.7
McLean,2013,0.5
McLean,2014,0.7
McLean,2015,S
McLean,2016,0.63
McLean,2017,0.79
McLean,2018,0.43
Madison,2003,0.66
Madison,2006,0.58
Madison,2007,0.59
Madison,2008,0.64
Madison,2009,0.75
Madison,2010,0.75
Madison,2011,0.74
Madison,2012,0.79
Madison,2013,0.78
Madison,2014,0.79
Madison,2015,0.79
Madison,2016,0.75
Madison,2017,0.73
Madison,2018,0.65
Magoffin,2003,0.88
Magoffin,2006,0.91
Magoffin,2007,0.8
Magoffin,2008,0.75
Magoffin,2009,0.75
Magoffin,2010,0.77
Magoffin,2011,0.82
Magoffin,2012,0.89
Magoffin,2013,0.8
Magoffin,2014,0.83
Magoffin,2015,0.74
Magoffin,2016,0.87
Magoffin,2017,0.89
Magoffin,2018,0.91
Marion,2003,0.92
Marion,2006,0.75
Marion,2007,0.75
Marion,2008,0.72
Marion,2009,0.81
Marion,2010,0.89
Marion,2011,0.85
Marion,2012,0.67
Marion,2013,0.62
Marion,2014,0.75
Marion,2015,0.8
Marion,2016,0.74
Marion,2017,0.72
Marion,2018,0.87
Marshall,2003,0.66
Marshall,2006,0.72
Marshall,2007,0.77
Marshall,2008,0.71
Marshall,2009,0.68
Marshall,2010,0.72
Marshall,2011,0.64
Marshall,2012,0.76
Marshall,2013,0.72
Marshall,2014,0.63
Marshall,2015,0.59
Marshall,2016,0.62
Marshall,2017,0.42
Marshall,2018,0.48
Martin,2003,0.87
Martin,2006,0.83
Martin,2007,0.88
Martin,2008,0.9
Martin,2009,0.88
Martin,2010,0.83
Martin,2011,0.84
Martin,2012,0.76
Martin,2013,0.73
Martin,2014,0.75
Martin,2015,0.73
Martin,2016,0.67
Martin,2017,0.6
Martin,2018,0.71
Mason,2003,0.62
Mason,2006,0.78
Mason,2007,0.74
Mason,2008,0.71
Mason,2009,0.75
Mason,2010,0.91
Mason,2011,0.75
Mason,2012,0.87
Mason,2013,0.91
Mason,2014,0.84
Mason,2015,0.75
Mason,2016,0.85
Mason,2017,0.71
Mason,2018,0.6
Meade,2003,0.68
Meade,2006,0.65
Meade,2007,0.56
Meade,2008,0.61
Meade,2009,0.65
Meade,2010,0.72
Meade,2011,0.59
Meade,2012,0.69
Meade,2013,0.7
Meade,2014,0.64
Meade,2015,0.63
Meade,2016,0.62
Meade,2017,0.49
Meade,2018,0.46
Menifee,2003,0.96
Menifee,2006,1
Menifee,2007,0.81
Menifee,2008,0.86
Menifee,2009,0.92
Menifee,2010,0.72
Menifee,2011,0.78
Menifee,2012,1
Menifee,2013,0.88
Menifee,2014,0.92
Menifee,2015,0.76
Menifee,2016,0.62
Menifee,2017,0.59
Menifee,2018,0.5
Mercer,2003,0.6
Mercer,2006,0.49
Mercer,2007,0.56
Mercer,2008,0.64
Mercer,2009,0.63
Mercer,2010,0.55
Mercer,2011,0.53
Mercer,2012,0.6
Mercer,2013,0.48
Mercer,2014,0.59
Mercer,2015,0.59
Mercer,2016,0.65
Mercer,2017,0.49
Mercer,2018,0.72
Metcalfe,2003,1
Metcalfe,2006,0.84
Metcalfe,2007,0.93
Metcalfe,2008,0.87
