Location,TimeFrame,MEDIAN_HOUSEHOLD_INCOME
Butler,2015,39545
Caldwell,2015,39355
Calloway,2015,40585
Campbell,2015,51694
Carlisle,2015,43144
Carroll,2015,46499
Carter,2015,37204
Casey,2015,33576
Christian,2015,39840
Clark,2015,54812
Clay,2015,24001
Clinton,2015,29178
Crittenden,2015,40202
Cumberland,2015,30989
Daviess,2015,48724
Edmonson,2015,38673
Elliott,2015,30299
Estill,2015,32541
Fayette,2015,51963
Fleming,2015,47030
Floyd,2015,30888
Franklin,2015,50471
Fulton,2015,30798
Gallatin,2015,47679
Garrard,2015,45018
Grant,2015,45307
Graves,2015,39515
Grayson,2015,37057
Green,2015,36226
Greenup,2015,45690
Hancock,2015,52929
Hardin,2015,49637
Harlan,2015,27425
Harrison,2015,47040
Hart,2015,34764
Henderson,2015,45718
Henry,2015,47802
Hickman,2015,40890
Hopkins,2015,44750
Jackson,2015,30565
Jefferson,2015,51230
Jessamine,2015,49839
Johnson,2015,36051
Kenton,2015,52631
Knott,2015,30138
Knox,2015,28578
Larue,2015,40202
Laurel,2015,37737
Lawrence,2015,36276
Lee,2015,26201
Leslie,2015,28722
Letcher,2015,31079
Lewis,2015,33867
Lincoln,2015,37220
Livingston,2015,44551
Logan,2015,43795
Lyon,2015,48189
McCracken,2015,47184
McCreary,2015,25655
McLean,2015,44007
Madison,2015,46342
Magoffin,2015,29921
Marion,2015,41189
Marshall,2015,49771
Martin,2015,29198
Mason,2015,37071
Meade,2015,51111
Menifee,2015,34299
Mercer,2015,46346
Metcalfe,2015,32654
Monroe,2015,31603
Montgomery,2015,42468
Morgan,2015,31489
Muhlenberg,2015,40272
Nelson,2015,51843
Nicholas,2015,37267
Ohio,2015,40661
Oldham,2015,84415
Owen,2015,43686
Owsley,2015,23341
Pendleton,2015,49345
Perry,2015,31740
Pike,2015,34315
Powell,2015,34510
Pulaski,2015,40702
Robertson,2015,40027
Rockcastle,2015,33293
Rowan,2015,36597
Russell,2015,31968
Scott,2015,63775
Shelby,2015,60189
